msg_id,channel,received_at,sender_name,sender_email,subject,body,address_in_msg,county_in_msg,listing_in_msg,bucket,expected_topic,expected_urgency,expected_owner
EM-0001,email,2026-04-22T04:12:00Z,Maria Brown,maria.brown33@example-mail.test,Vendor quote,"The painter quoted $1,800 for unit B at 1372 Pine Rd, Lawrenceville, GA - does that look right?","1372 Pine Rd, Lawrenceville, GA",Gwinnett,,rent_manage,vendor,P2,Noa
EM-0002,email,2026-04-09T07:52:00Z,Sophie Davis,sophie.davis40@yahoo.com,Hey :),Mom's birthday is next week - did you order the cake?,,,,non_business,personal,P3,ARCHIVE
EM-0003,email,2026-05-15T06:49:00Z,Sam Nguyen,sam.nguyen71@example-mail.test,Contract / signature needed,"Giving 30 days' notice - moving out by end of next month. 3865 Sycamore Blvd, Sandy Springs, GA","3865 Sycamore Blvd, Sandy Springs, GA",Fulton,,rent_manage,contract,P1,Noa
EM-0004,email,2026-03-28T12:58:00Z,Hannah Bell,hannah.bell51@yahoo.com,Calendar question,"Can we set up a walkthrough next Tuesday for the move-out at 4240 Pine Rd, Atlanta, GA?","4240 Pine Rd, Atlanta, GA",Fulton,,rent_manage,scheduling,P2,Noa
EM-0005,email,2026-04-27T11:45:00Z,Lisa Garcia,lisa.garcia51@yahoo.com,Contract / signature needed,"Need your signature on the addendum for 9440 Cedar Trail, Brookhaven, GA before 5pm.","9440 Cedar Trail, Brookhaven, GA",DeKalb,,buy_sell,contract,P1,Noa
EM-0006,email,2026-05-10T16:48:00Z,Jorge Patel,jorge.patel79@icloud.com,Offer / deal update,Closing tomorrow at 9am and the wire instructions look wrong - help!,"7724 Oak Ave, Cumming, GA",Forsyth,,buy_sell,deal,P0,Nathalie
EM-0007,email,2026-04-12T07:01:00Z,Ben Johnson,ben.johnson59@yahoo.com,Contract / signature needed,"Need your signature on the addendum for 2741 Pine Rd, Atlanta, GA before 5pm.","2741 Pine Rd, Atlanta, GA",Fulton,,buy_sell,contract,P1,Noa
EM-0008,email,2026-04-01T00:40:00Z,Hannah Brown,hannah.brown90@yahoo.com,Selling our home,"Hi Nathalie, I'd like to sell my house at 285 Cedar Trail, Canton, GA. What's the market like in Cherokee right now?","285 Cedar Trail, Canton, GA",Cherokee,,buy_sell,seller_lead,P2,Fabi
EM-0009,email,2026-04-30T00:34:00Z,Chris Patel,chris.patel21@icloud.com,Contract / signature needed,Question on clause 7.b of the contract - what does 'as-is' really mean here?,"1684 Riverbend Way, Roswell, GA",Fulton,,buy_sell,contract,P2,Noa
EM-0010,email,2026-04-09T22:25:00Z,Linda Patel,linda.patel56@gmail.com,Document request,Lender needs proof of homeowners insurance by end of day.,"327 Birch Ct, Smyrna, GA",Cobb,,buy_sell,document,P1,Noa
