msg_id,channel,received_at,sender_name,sender_phone,body,address_in_msg,county_in_msg,listing_in_msg,expected_topic,expected_urgency,expected_owner
SMS-0001,sms,2026-05-11T07:13:00Z,Tester Buyer-Smith,+14045550199,"Appraisal came in at $620k for 3002 Willow Pkwy, Brookhaven, GA. Numbers look good.","3002 Willow Pkwy, Brookhaven, GA",DeKalb,,deal,P2,Nathalie
SMS-0002,sms,2026-03-20T16:00:00Z,Tester Buyer-Smith,+14045550199,"Neighbor in unit B has been playing loud music until 2am for a week. 561 Oak Ave, Lawrenceville, GA","561 Oak Ave, Lawrenceville, GA",Gwinnett,,tenant_issue,P2,Nathalie
SMS-0003,sms,2026-05-06T08:18:00Z,Tester Buyer-Smith,+14045550199,I'm a Nigerian prince and need your help moving $25M...,"4995 Oak Ave, Sandy Springs, GA",Fulton,,spam,P3,ARCHIVE
SMS-0004,sms,2026-05-11T16:18:00Z,Tester Buyer-Smith,+14045550199,"Could you send me the seller's disclosure for 4975 Maple Dr, Canton, GA (MLS MLS-7562889)?","4975 Maple Dr, Canton, GA",Cherokee,MLS-7562889,document,P2,Noa
SMS-0005,sms,2026-04-29T07:20:00Z,Tester Buyer-Smith,+14045550199,"The painter quoted $1,800 for unit B at 1799 Birch Ct, Duluth, GA - does that look right?","1799 Birch Ct, Duluth, GA",Gwinnett,,vendor,P2,Noa
SMS-0006,sms,2026-05-07T23:54:00Z,Tester Buyer-Smith,+14045550199,"Just confirming the security deposit is $1,500 not $2,000 like the email said.","2902 Peachtree St, Canton, GA",Cherokee,,billing,P3,Noa
SMS-0007,sms,2026-03-19T02:29:00Z,Tester Buyer-Smith,+14045550199,"Plumber invoice for 3208 Sycamore Blvd, Duluth, GA - approving with your sign-off.","3208 Sycamore Blvd, Duluth, GA",Gwinnett,,vendor,P3,Noa
SMS-0008,sms,2026-05-16T02:55:00Z,Tester Buyer-Smith,+14045550199,"Need your signature on the addendum for 1607 Maple Dr, Cumming, GA before 5pm.","1607 Maple Dr, Cumming, GA",Forsyth,,contract,P1,Noa
SMS-0009,sms,2026-04-14T14:44:00Z,Tester Buyer-Smith,+14045550199,Got a late fee but I have proof I paid on time. Can we sort this out?,"7585 Willow Pkwy, Sugar Hill, GA",Gwinnett,,billing,P2,Noa
SMS-0010,sms,2026-03-25T23:29:00Z,Tester Buyer-Smith,+14045550199,Need to move ASAP - relocating for work in 3 weeks. Can you call me today?,"5665 Sycamore Blvd, Sugar Hill, GA",Gwinnett,,buyer_lead,P1,Fabi
SMS-0011,sms,2026-03-31T07:09:00Z,Tester Buyer-Smith,+14045550199,I paid rent on the 1st but it doesn't show in the portal yet.,"728 Birch Ct, Canton, GA",Cherokee,,billing,P2,Noa
SMS-0012,sms,2026-04-17T19:55:00Z,Tester Buyer-Smith,+14045550199,"Giving 30 days' notice - moving out by end of next month. 6758 Sycamore Blvd, Canton, GA","6758 Sycamore Blvd, Canton, GA",Cherokee,,contract,P1,Noa
