msg_id,channel,received_at,sender_name,sender_phone,body,address_in_msg,county_in_msg,listing_in_msg,expected_topic,expected_urgency,expected_owner
WA-0001,whatsapp,2026-03-19T21:10:00Z,Tester Buyer-Smith,+14045550199,Looking for a 3BR/2BA in Fulton county under $550k. Do you have anything coming up?,"1246 Willow Pkwy, Roswell, GA",Fulton,,buyer_lead,P2,Nathalie
WA-0002,whatsapp,2026-03-27T21:43:00Z,Tester Buyer-Smith,+14045550199,"Hi Nathalie, I'd like to sell my house at 8176 Riverbend Way, Sandy Springs, GA. What's the market like in Fulton right now?","8176 Riverbend Way, Sandy Springs, GA",Fulton,,seller_lead,P2,Nathalie
WA-0003,whatsapp,2026-05-04T10:29:00Z,Tester Buyer-Smith,+14045550199,"Plumber invoice for 5868 Willow Pkwy, Woodstock, GA - approving with your sign-off.","5868 Willow Pkwy, Woodstock, GA",Cherokee,,vendor,P3,Noa
WA-0004,whatsapp,2026-04-09T16:11:00Z,Tester Buyer-Smith,+14045550199,The work order #4421 for the dishwasher - any update?,"1598 Peachtree St, Dunwoody, GA",DeKalb,,maintenance,P2,Noa
WA-0005,whatsapp,2026-03-31T07:13:00Z,Tester Buyer-Smith,+14045550199,"Giving 30 days' notice - moving out by end of next month. 6169 Magnolia Ln, Woodstock, GA","6169 Magnolia Ln, Woodstock, GA",Cherokee,,contract,P1,Noa
WA-0006,whatsapp,2026-04-21T04:58:00Z,Tester Buyer-Smith,+14045550199,"AC stopped cooling at 5455 Sycamore Blvd, Kennesaw, GA. Indoor temp is 84F.","5455 Sycamore Blvd, Kennesaw, GA",Cobb,,tenant_issue,P1,Nathalie
WA-0007,whatsapp,2026-04-03T04:12:00Z,Tester Buyer-Smith,+14045550199,"Could you send me the seller's disclosure for 8079 Oak Ave, Cumming, GA (MLS MLS-7853811)? 🙏

Also - can you let me know by tomorrow?","8079 Oak Ave, Cumming, GA",Forsyth,MLS-7853811,document,P2,Noa
WA-0008,whatsapp,2026-05-06T03:54:00Z,Tester Buyer-Smith,+14045550199,Are you a real estate agent? Try our new CRM free for 30 days.,"4168 Riverbend Way, Marietta, GA",Cobb,,marketing_promo,P3,ARCHIVE
WA-0009,whatsapp,2026-03-27T18:04:00Z,Tester Buyer-Smith,+14045550199,"Can we move tomorrow's showing at 7654 Pine Rd, Dunwoody, GA from 4pm to 6pm? 🙏

Also - can you let me know by tomorrow?","7654 Pine Rd, Dunwoody, GA",DeKalb,,showing,P2,Nathalie
WA-0010,whatsapp,2026-05-10T07:54:00Z,Tester Buyer-Smith,+14045550199,"I'm at 1802 Willow Pkwy, Roswell, GA but the door is locked. Are you on the way?

Also - can you let me know by tomorrow?","1802 Willow Pkwy, Roswell, GA",Fulton,,showing,P1,Nathalie
WA-0011,whatsapp,2026-04-10T02:45:00Z,Tester Buyer-Smith,+14045550199,"Insurance renewal for 223 Pine Rd, Decatur, GA is due next month.

Also - can you let me know by tomorrow?","223 Pine Rd, Decatur, GA",DeKalb,,admin,P3,Noa
WA-0012,whatsapp,2026-04-10T18:44:00Z,Tester Buyer-Smith,+14045550199,Crypto opportunity - 300% return guaranteed. Reply YES.,"2414 Riverbend Way, Sugar Hill, GA",Gwinnett,,spam,P3,ARCHIVE
WA-0013,whatsapp,2026-04-02T10:28:00Z,Tester Buyer-Smith,+14045550199,"Voice note transcription:
Appraisal came in at $620k for 4507 Willow Pkwy, Woodstock, GA. Numbers look good.","4507 Willow Pkwy, Woodstock, GA",Cherokee,,deal,P2,Nathalie
WA-0014,whatsapp,2026-04-25T21:40:00Z,Tester Buyer-Smith,+14045550199,"Voice note transcription:
Light bulb in the hallway burned out, no rush. 🙏","2125 Oak Ave, Dunwoody, GA",DeKalb,,maintenance,P3,Noa
WA-0015,whatsapp,2026-04-08T08:47:00Z,Tester Buyer-Smith,+14045550199,"Voice note transcription:
Plumber invoice for 4999 Maple Dr, Woodstock, GA - approving with your sign-off.

Also - can you let me know by tomorrow?","4999 Maple Dr, Woodstock, GA",Cherokee,,vendor,P3,Noa
WA-0016,whatsapp,2026-04-26T01:50:00Z,Tester Buyer-Smith,+14045550199,Got the inspection report back. There are 3 items I'd like to negotiate.,"5577 Pine Rd, Brookhaven, GA",DeKalb,,deal,P1,Nathalie
WA-0017,whatsapp,2026-03-31T08:38:00Z,Tester Buyer-Smith,+14045550199,Considering listing the property in Gwinnett - can we schedule a CMA?,"6008 Maple Dr, Duluth, GA",Gwinnett,,seller_lead,P2,Fabi
WA-0018,whatsapp,2026-05-12T08:11:00Z,Tester Buyer-Smith,+14045550199,Yoga class moved to 7am tomorrow. Want to come? 🙏,"939 Cedar Trail, Cumming, GA",Forsyth,,personal,P3,ARCHIVE
WA-0019,whatsapp,2026-04-30T21:55:00Z,Tester Buyer-Smith,+14045550199,Closing tomorrow at 9am and the wire instructions look wrong - help!,"1106 Pine Rd, Cumming, GA",Forsyth,,deal,P0,Nathalie
WA-0020,whatsapp,2026-04-09T13:47:00Z,Tester Buyer-Smith,+14045550199,"Crypto opportunity - 300% return guaranteed. Reply YES.

Also - can you let me know by tomorrow?","8339 Peachtree St, Brookhaven, GA",DeKalb,,spam,P3,ARCHIVE
